eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23120008,2024082016284648298,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284648298,0,5915,20,20,0,0,100,36.730176,127.440552,105.169824,1,1,60,0,0x42ae49c2
1,31,23120008,2024082016284658317,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284658317,0,5915,20,20,0,0,100,36.730176,127.440552,105.169960,2,2,60,103,0x6947cf41
1,31,23120008,2024082016284668328,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284668328,0,5915,20,20,0,0,100,36.730176,127.440552,105.170104,3,3,60,103,0xb9695f12
1,31,23120008,2024082016284678340,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284678340,0,5915,20,20,0,0,100,36.730176,127.440552,105.170232,4,4,60,103,0x446f062a
1,31,23120008,2024082016284688352,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284688352,0,5915,20,20,0,0,100,36.730176,127.440552,105.170328,5,5,60,103,0x6cab3311
1,31,23120008,2024082016284698365,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284698365,0,5915,20,20,0,0,100,36.730176,127.440552,105.170296,6,6,60,103,0x66af7bd9
1,31,23120008,2024082016284708377,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284708377,0,5915,20,20,0,0,100,36.730176,127.440552,105.170720,7,7,60,103,0x4769ea86
1,31,23120008,2024082016284718390,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284718390,0,5915,20,20,0,0,100,36.730176,127.440552,105.170832,8,8,60,103,0x1d27a8a4
1,31,23120008,2024082016284728402,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284728402,0,5915,20,20,0,0,100,36.730176,127.440552,105.171304,9,9,60,103,0x7aab7440
1,31,23120008,2024082016284738414,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284738414,0,5915,20,20,0,0,100,36.730176,127.440552,105.171712,10,10,60,103,0x7eb36fd
1,31,23120008,2024082016284748426,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284748426,0,5915,20,20,0,0,100,36.730176,127.440552,105.171896,11,11,60,103,0x9965b917
1,31,23120008,2024082016284758445,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284758445,0,5915,20,20,0,0,100,36.730176,127.440552,105.172456,12,12,0,103,0xc89afc50
1,31,23120008,2024082016284768457,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284768457,0,5915,20,20,0,0,100,36.730176,127.440552,105.172952,13,13,0,103,0xb231c693
1,31,23120008,2024082016284778468,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284778468,0,5915,20,20,0,0,100,36.730176,127.440552,105.173416,14,14,0,103,0x357c3248
1,31,23120008,2024082016284788479,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284788479,0,5915,20,20,0,0,100,36.730176,127.440552,105.173896,15,15,0,103,0x4944baf2
1,31,23120008,2024082016284798491,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284798491,0,5915,20,20,0,0,100,36.730176,127.440552,105.174456,16,16,0,103,0xa4268d89
1,31,23120008,2024082016284808502,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284808502,0,5915,20,20,0,0,100,36.730176,127.440552,105.174992,17,17,0,103,0x30c844d9
1,31,23120008,2024082016284818511,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284818511,0,5915,20,20,0,0,100,36.730176,127.440552,105.175312,18,18,0,103,0x7847eb46
1,31,23120008,2024082016284828522,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284828522,0,5915,20,20,0,0,100,36.730176,127.440552,105.175832,19,19,0,103,0x548afdf
1,31,23120008,2024082016284838537,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284838537,0,5915,20,20,0,0,100,36.730176,127.440552,105.176208,20,20,0,103,0x3735a196
1,31,23120008,2024082016284848549,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284848549,0,5915,20,20,0,0,100,36.730176,127.440552,105.176752,21,21,0,103,0xad7ee67b
1,31,23120008,2024082016284858561,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284858561,0,5915,20,20,0,0,100,36.730176,127.440552,105.176768,22,22,0,103,0xc33e016b
1,31,23120008,2024082016284868573,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284868573,0,5915,20,20,0,0,100,36.730176,127.440552,105.176840,23,23,0,103,0xa6bbadc2
1,31,23120008,2024082016284878587,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284878587,0,5915,20,20,0,0,100,36.730176,127.440552,105.177168,24,24,0,103,0xd6eebe54
1,31,23120008,2024082016284888597,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284888597,0,5915,20,20,0,0,100,36.730176,127.440552,105.177376,25,25,0,103,0xd533a2
1,31,23120008,2024082016284898608,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284898608,0,5915,20,20,0,0,100,36.730176,127.440552,105.177696,26,26,0,103,0xa6f9d5bb
1,31,23120008,2024082016284908619,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024082016284908619,0,5915,20,20,0,0,100,36.730176,127.440552,105.178152,27,27,0,103,0x3a6848d2
