eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,eDbV2XPtType,usV2xGroupId,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,eDbV2XPtType,usV2xGroupId,unTotalPacketCrc32
1,31,20120002,2024080615233735223,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233735223,0,5915,20,20,0,0,100,37.411232,127.094968,98.411192,1,1,60,0,0,0,0x37206151
1,31,20120002,2024080615233745247,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233745247,0,5915,20,20,0,0,100,37.411240,127.094976,98.433560,2,2,60,169,0,0,0x3f9c423e
1,31,20120002,2024080615233755259,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233755259,0,5915,20,20,0,0,100,37.411244,127.094976,98.458064,3,3,60,169,0,0,0x6c13d7a8
1,31,20120002,2024080615233765270,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233765270,0,5915,20,20,0,0,100,37.411252,127.094976,98.487112,4,4,60,169,0,0,0x7ea56ee0
1,31,20120002,2024080615233775282,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233775282,0,5915,20,20,0,0,100,37.411260,127.094976,98.509792,5,5,60,169,0,0,0x86c63d19
1,31,20120002,2024080615233785295,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233785295,0,5915,20,20,0,0,100,37.411264,127.094984,98.533328,6,6,60,168,0,0,0xefabdc1c
1,31,20120002,2024080615233795309,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233795309,0,5915,20,20,0,0,100,37.411272,127.094984,98.575784,7,7,60,168,0,0,0x7770a1d
1,31,20120002,2024080615233805322,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233805322,0,5915,20,20,0,0,100,37.411276,127.094984,98.612424,8,8,60,168,0,0,0xea5b5ba8
1,31,20120002,2024080615233815335,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233815335,0,5915,20,20,0,0,100,37.411280,127.094984,98.642544,9,9,60,168,0,0,0x414c676c
1,31,20120002,2024080615233825348,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233825348,0,5915,20,20,0,0,100,37.411288,127.094992,98.673712,10,10,60,168,0,0,0xdd611678
1,31,20120002,2024080615233835360,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233835360,0,5915,20,20,0,0,100,37.411296,127.094992,98.704640,11,11,60,168,0,0,0x9f7f94f
1,31,20120002,2024080615233845379,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233845379,0,5915,20,20,0,0,100,37.411300,127.094992,98.739888,12,12,26,168,0,0,0x231bd681
1,31,20120002,2024080615233855391,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233855391,0,5915,20,20,0,0,100,37.411308,127.094992,98.763784,13,13,26,169,0,0,0xcd68adc6
1,31,20120002,2024080615233865404,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233865404,0,5915,20,20,0,0,100,37.411316,127.095000,98.791152,14,14,26,169,0,0,0xb2641f41
1,31,20120002,2024080615233875418,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233875418,0,5915,20,20,0,0,100,37.411320,127.095000,98.813016,15,15,26,169,0,0,0x4082c22b
1,31,20120002,2024080615233885432,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233885432,0,5915,20,20,0,0,100,37.411328,127.095000,98.835488,16,16,26,169,0,0,0x2860c622
1,31,20120002,2024080615233895445,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233895445,0,5915,20,20,0,0,100,37.411336,127.095000,98.856064,17,17,26,170,0,0,0x321f5618
1,31,20120002,2024080615233905458,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233905458,0,5915,20,20,0,0,100,37.411344,127.095000,98.882320,18,18,26,170,0,0,0x889b615a
1,31,20120002,2024080615233915471,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233915471,0,5915,20,20,0,0,100,37.411352,127.095008,98.903224,19,19,26,170,0,0,0x5eb12e4e
1,31,20120002,2024080615233925482,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233925482,0,5915,20,20,0,0,100,37.411356,127.095008,98.927288,20,20,26,170,0,0,0x8dea240c
1,31,20120002,2024080615233935494,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233935494,0,5915,20,20,0,0,100,37.411360,127.095008,98.951600,21,21,26,170,0,0,0x9ecb24e7
1,31,20120002,2024080615233945508,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233945508,0,5915,20,20,0,0,100,37.411368,127.095008,98.978424,22,22,26,170,0,0,0xd755095
1,31,20120002,2024080615233955521,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233955521,0,5915,20,20,0,0,100,37.411372,127.095016,98.999584,23,23,26,170,0,0,0x6ac08f0c
1,31,20120002,2024080615233965533,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233965533,0,5915,20,20,0,0,100,37.411380,127.095016,99.023800,24,24,26,170,0,0,0xf42e7dc9
1,31,20120002,2024080615233975548,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233975548,0,5915,20,20,0,0,100,37.411388,127.095016,99.046000,25,25,26,171,0,0,0x7db264de
1,31,20120002,2024080615233985560,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233985560,0,5915,20,20,0,0,100,37.411396,127.095016,99.072760,26,26,26,171,0,0,0x255e3459
1,31,20120002,2024080615233995573,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615233995573,0,5915,20,20,0,0,100,37.411404,127.095016,99.098048,27,27,26,171,0,0,0x7fef976b
1,31,20120002,2024080615234005585,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234005585,0,5915,20,20,0,0,100,37.411408,127.095024,99.120072,28,28,26,170,0,0,0x22edbcba
1,31,20120002,2024080615234015598,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234015598,0,5915,20,20,0,0,100,37.411416,127.095024,99.144952,29,29,26,170,0,0,0x28889e69
1,31,20120002,2024080615234025612,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234025612,0,5915,20,20,0,0,100,37.411424,127.095024,99.171784,30,30,26,170,0,0,0xd7bd44f4
1,31,20120002,2024080615234035626,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234035626,0,5915,20,20,0,0,100,37.411432,127.095024,99.198928,31,31,26,170,0,0,0xe6528f7f
1,31,20120002,2024080615234045641,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234045641,0,5915,20,20,0,0,100,37.411436,127.095032,99.220040,32,32,29,170,0,0,0xaeceaee7
1,31,20120002,2024080615234055655,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234055655,0,5915,20,20,0,0,100,37.411444,127.095032,99.244888,33,33,29,170,0,0,0x215b3dc2
1,31,20120002,2024080615234065668,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234065668,0,5915,20,20,0,0,100,37.411448,127.095032,99.268784,34,34,29,169,0,0,0x80f54239
1,31,20120002,2024080615234075681,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234075681,0,5915,20,20,0,0,100,37.411456,127.095032,99.297352,35,35,29,169,0,0,0x34d3af2c
1,31,20120002,2024080615234085693,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234085693,0,5915,20,20,0,0,100,37.411464,127.095032,99.330008,36,36,29,168,0,0,0x7930eb8e
1,31,20120002,2024080615234095706,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234095706,0,5915,20,20,0,0,100,37.411472,127.095040,99.358944,37,37,29,168,0,0,0xc68cedc6
1,31,20120002,2024080615234105718,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234105718,0,5915,20,20,0,0,100,37.411476,127.095040,99.388008,38,38,29,167,0,0,0xd941100c
1,31,20120002,2024080615234115730,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234115730,0,5915,20,20,0,0,100,37.411484,127.095040,99.415096,39,39,29,167,0,0,0x244eb72e
1,31,20120002,2024080615234125741,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234125741,0,5915,20,20,0,0,100,37.411492,127.095048,99.440144,40,40,29,166,0,0,0xb546c724
1,31,20120002,2024080615234135753,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234135753,0,5915,20,20,0,0,100,37.411500,127.095048,99.463056,41,41,29,165,0,0,0xdc4a45e3
1,31,20120002,2024080615234145767,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234145767,0,5915,20,20,0,0,100,37.411508,127.095048,99.488720,42,42,28,164,0,0,0xe06eb95f
1,31,20120002,2024080615234155778,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234155778,0,5915,20,20,0,0,100,37.411512,127.095056,99.511384,43,43,28,163,0,0,0xc1e623d2
1,31,20120002,2024080615234165790,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234165790,0,5915,20,20,0,0,100,37.411520,127.095056,99.526584,44,44,28,162,0,0,0x98ec3749
1,31,20120002,2024080615234175800,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234175800,0,5915,20,20,0,0,100,37.411524,127.095056,99.545128,45,45,28,161,0,0,0xa65059b6
1,31,20120002,2024080615234185811,1,1,9,201,1,1.5,0x1,0x1,136,0,0,2024080615234185811,0,5915,20,20,0,0,100,37.411528,127.095064,99.562616,46,46,28,161,0,0,0x89990aae
