eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23120002,2024052410415291214,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415291214,0,5915,20,20,0,0,100,37.403444,127.160120,137.810032,1,1,60,0,0xd0de6ee3
1,31,23120002,2024052410415301336,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415301336,0,5915,20,20,0,0,100,37.403444,127.160120,137.815952,2,2,60,52,0x13cb440
1,31,23120002,2024052410415311368,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415311368,0,5915,20,20,0,0,100,37.403444,127.160120,137.822208,3,3,60,0,0x4ef27b07
1,31,23120002,2024052410415321501,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415321501,0,5915,20,20,0,0,100,37.403444,127.160120,137.823952,4,4,60,0,0xbe3c8294
1,31,23120002,2024052410415331635,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415331635,0,5915,20,20,0,0,100,37.403444,127.160120,137.824400,5,5,60,0,0xdcc330e9
1,31,23120002,2024052410415341764,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415341764,0,5915,20,20,0,0,100,37.403444,127.160120,137.808768,6,6,60,0,0x11363d5e
1,31,23120002,2024052410415351853,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415351853,0,5915,20,20,0,0,100,37.403444,127.160120,137.804416,7,7,60,0,0xdfa1ef32
1,31,23120002,2024052410415361947,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415361947,0,5915,20,20,0,0,100,37.403444,127.160120,137.808144,8,8,60,0,0xfc8ad490
1,31,23120002,2024052410415372078,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415372078,0,5915,20,20,0,0,100,37.403444,127.160120,137.801968,9,9,60,0,0xc66414db
1,31,23120002,2024052410415382187,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415382187,0,5915,20,20,0,0,100,37.403444,127.160120,137.798288,10,10,60,0,0x541be108
1,31,23120002,2024052410415392319,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415392319,0,5915,20,20,0,0,100,37.403444,127.160120,137.793504,11,11,60,0,0x31ef35c4
1,31,23120002,2024052410415402458,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415402458,0,5915,20,20,0,0,100,37.403448,127.160120,137.792160,12,12,0,0,0x6067b287
1,31,23120002,2024052410415412550,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415412550,0,5915,20,20,0,0,100,37.403448,127.160120,137.793216,13,13,0,0,0x1bade31d
1,31,23120002,2024052410415422566,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415422566,0,5915,20,20,0,0,100,37.403448,127.160120,137.796080,14,14,0,0,0x73a1eeef
1,31,23120002,2024052410415432641,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415432641,0,5915,20,20,0,0,100,37.403448,127.160120,137.791568,15,15,0,0,0x262180c5
1,31,23120002,2024052410415442762,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415442762,0,5915,20,20,0,0,100,37.403448,127.160120,137.790960,16,16,0,0,0xb5c8e841
1,31,23120002,2024052410415452801,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415452801,0,5915,20,20,0,0,100,37.403448,127.160120,137.784304,17,17,0,0,0x52adca6c
1,31,23120002,2024052410415462878,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415462878,0,5915,20,20,0,0,100,37.403448,127.160120,137.783632,18,18,0,0,0x61cef52b
1,31,23120002,2024052410415472913,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415472913,0,5915,20,20,0,0,100,37.403448,127.160120,137.783440,19,19,0,0,0x267a60b9
1,31,23120002,2024052410415482986,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415482986,0,5915,20,20,0,0,100,37.403448,127.160120,137.779648,20,20,0,0,0x141fbd9c
1,31,23120002,2024052410415493005,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415493005,0,5915,20,20,0,0,100,37.403448,127.160120,137.780688,21,21,0,0,0xe7ab4420
1,31,23120002,2024052410415503042,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415503042,0,5915,20,20,0,0,100,37.403448,127.160120,137.781072,22,22,1,0,0xd3b3da86
1,31,23120002,2024052410415513106,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415513106,0,5915,20,20,0,0,100,37.403448,127.160120,137.781488,23,23,1,0,0x3ba6250f
1,31,23120002,2024052410415523132,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415523132,0,5915,20,20,0,0,100,37.403448,127.160120,137.774960,24,24,1,0,0x5e4dceab
1,31,23120002,2024052410415533200,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415533200,0,5915,20,20,0,0,100,37.403448,127.160120,137.774144,25,25,1,0,0xd307d011
1,31,23120002,2024052410415543290,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415543290,0,5915,20,20,0,0,100,37.403448,127.160120,137.760448,26,26,1,0,0xfd6f8d40
1,31,23120002,2024052410415553324,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415553324,0,5915,20,20,0,0,100,37.403448,127.160120,137.757344,27,27,1,0,0xa8bc8559
1,31,23120002,2024052410415563360,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415563360,0,5915,20,20,0,0,100,37.403448,127.160120,137.750640,28,28,1,0,0xa99648c7
1,31,23120002,2024052410415573383,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410415573383,0,5915,20,20,0,0,100,37.403448,127.160120,137.738576,29,29,1,0,0x2944c7f8
