eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024052410412437565,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412437565,0,5915,20,20,0,0,100,37.403444,127.160120,138.044240,1,1,60,0,0xef4c8b52
1,31,23040015,2024052410412447601,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412447601,0,5915,20,20,0,0,100,37.403444,127.160120,138.041392,2,2,60,52,0x9ef057b5
1,31,23040015,2024052410412457794,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412457794,0,5915,20,20,0,0,100,37.403444,127.160120,138.052320,3,3,60,0,0x6080a3fa
1,31,23040015,2024052410412467981,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412467981,0,5915,20,20,0,0,100,37.403444,127.160120,138.053040,4,4,60,0,0x97b1bea0
1,31,23040015,2024052410412478171,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412478171,0,5915,20,20,0,0,100,37.403444,127.160120,138.046336,5,5,60,0,0xeba66b84
1,31,23040015,2024052410412488356,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412488356,0,5915,20,20,0,0,100,37.403444,127.160120,138.050832,6,6,60,0,0x51cb57d3
1,31,23040015,2024052410412498377,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412498377,0,5915,20,20,0,0,100,37.403444,127.160120,138.042736,7,7,60,0,0x7459db1d
1,31,23040015,2024052410412508483,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412508483,0,5915,20,20,0,0,100,37.403444,127.160120,138.036624,8,8,60,0,0xb315e998
1,31,23040015,2024052410412518519,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412518519,0,5915,20,20,0,0,100,37.403444,127.160120,138.035472,9,9,60,0,0x5f7b9739
1,31,23040015,2024052410412528669,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052410412528669,0,5915,20,20,0,0,100,37.403444,127.160120,138.023712,10,10,60,0,0x58db6c94
