eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052414012561467,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012554799,2022042906250082170,2024052414012561467,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,123.967320,8652,52,60,0,0x4d70c8b2,2024052414012555461,2022042902581745369,9223372036854775807,662,-3668336801,7199319622842214340,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,1,0,0,0,6.952918,37.403456,127.160112,123.967320,0,8652,0,100.000,0.000
1,31,23120008,2024052414012571488,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012564713,2022042906250092177,2024052414012571488,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,123.982328,8653,53,0,0,0x23bc918,2024052414012565619,2022042902581755392,9223372036854775807,906,-3668336785,7199319622842204319,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,123.982328,0,8653,0,100.000,0.000
1,31,23120008,2024052414012581524,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012574835,2022042906250102204,2024052414012581524,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.013448,8654,54,0,0,0xfe023006,2024052414012575773,2022042902581765547,9223372036854775807,938,-3668336657,7199319622842194283,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.013448,0,8654,0,100.000,0.000
1,31,23120008,2024052414012591561,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012584805,2022042906250112240,2024052414012591561,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.059848,8655,55,0,0,0x9ed42fd4,2024052414012585912,2022042902581775691,9223372036854775807,1107,-3668336549,7199319622842184246,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.059848,0,8655,0,100.000,0.000
1,31,23120008,2024052414012601596,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012594824,2022042906250122272,2024052414012601596,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.048040,8656,56,0,0,0x8685f559,2024052414012595460,2022042902581785239,9223372036854775807,636,-3668337033,7199319622842174211,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.048040,0,8656,0,100.000,0.000
1,31,23120008,2024052414012611612,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012604913,2022042906250132279,2024052414012611612,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.049912,8657,57,0,0,0x36a720c0,2024052414012605705,2022042902581795480,9223372036854775807,792,-3668336799,7199319622842164195,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.049912,0,8657,0,100.000,0.000
1,31,23120008,2024052414012621647,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012614844,2022042906250142307,2024052414012621647,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.072384,8658,58,0,0,0xcbdc08d,2024052414012615060,2022042902581804839,9223372036854775807,216,-3668337468,7199319622842154160,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.072384,0,8658,0,100.000,0.000
1,31,23120008,2024052414012631685,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012624883,2022042906250152341,2024052414012631685,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.086816,8659,59,0,0,0x6e524dae,2024052414012625463,2022042902581815243,9223372036854775807,580,-3668337098,7199319622842144122,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.086816,0,8659,0,100.000,0.000
1,31,23120008,2024052414012641721,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012634928,2022042906250162376,2024052414012641721,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.092960,8660,60,0,0,0x88007bb7,2024052414012635157,2022042902581824935,9223372036854775807,229,-3668337441,7199319622842134086,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.092960,0,8660,0,100.000,0.000
1,31,23120008,2024052414012651754,1,1,9,101,1,1.5,0x1,0x1,128,2024052414012644945,2022042906250172411,2024052414012651754,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403456,127.160112,124.093152,8661,61,0,0,0x1968c4b7,2024052414012645905,2022042902581835685,9223372036854775807,960,-3668336726,7199319622842124053,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,6.952918,37.403456,127.160112,124.093152,0,8661,0,100.000,0.000
