eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052415361826295,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361822957,2022042907595361497,2024052415361826295,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.811920,11703,3,60,320,0x40817bba,2024052415361824011,2022042903033267082,2024052415361799943,1054,-4562094415,-26352,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,8,1,0,0,0,16.121146,37.403472,127.159832,127.811920,0,11703,0,100.000,0.000
1,31,23120008,2024052415361836314,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361832962,2022042907595371510,2024052415361836314,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.808216,11704,4,0,320,0x64724eb7,2024052415361833908,2022042903033276963,2024052415361810048,946,-4562094547,-26266,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.808216,0,11704,0,100.000,0.000
1,31,23120008,2024052415361846335,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361842968,2022042907595381533,2024052415361846335,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.810120,11705,5,0,320,0xe6088624,2024052415361843810,2022042903033286845,2024052415361820114,842,-4562094688,-26221,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.810120,0,11705,0,100.000,0.000
1,31,23120008,2024052415361856355,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361852997,2022042907595391571,2024052415361856355,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.804120,11706,6,0,320,0xf76a00cc,2024052415361853575,2022042903033296610,2024052415361830196,578,-4562094961,-26159,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.804120,0,11706,0,100.000,0.000
1,31,23120008,2024052415361866374,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361863041,2022042907595401588,2024052415361866374,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.802832,11707,7,0,320,0x9b178cd9,2024052415361863860,2022042903033306894,2024052415361840268,819,-4562094694,-26106,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.802832,0,11707,0,100.000,0.000
1,31,23120008,2024052415361876392,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361873009,2022042907595411592,2024052415361876392,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.803552,11708,8,0,320,0x825b053f,2024052415361873357,2022042903033316384,2024052415361849334,348,-4562095208,-27058,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.803552,0,11708,0,100.000,0.000
1,31,23120008,2024052415361886411,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361883062,2022042907595421631,2024052415361886411,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.799896,11709,9,0,320,0xc0ff31e5,2024052415361883418,2022042903033326454,2024052415361859420,356,-4562095177,-26991,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.799896,0,11709,0,100.000,0.000
1,31,23120008,2024052415361896429,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361893029,2022042907595431632,2024052415361896429,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.797024,11710,10,0,320,0xadd42cd6,2024052415361893708,2022042903033336744,2024052415361869498,679,-4562094888,-26931,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.797024,0,11710,0,100.000,0.000
1,31,23120008,2024052415361906449,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361903063,2022042907595441667,2024052415361906449,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.797048,11711,11,0,320,0x23a25242,2024052415361903361,2022042903033346396,2024052415361879570,298,-4562095271,-26879,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.797048,0,11711,0,100.000,0.000
1,31,23120008,2024052415361916469,1,1,9,101,1,1.5,0x1,0x1,128,2024052415361913096,2022042907595451671,2024052415361916469,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.159832,127.792480,11712,12,0,320,0xfd6afc1d,2024052415361913965,2022042903033357002,2024052415361890629,869,-4562094669,-25840,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,8,1,0,0,0,16.121146,37.403472,127.159832,127.792480,0,11712,0,100.000,0.000
