eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417320873524,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532517070,2022042903140577292,2024042417320873524,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13940,40,60,0,0x873dc31e,2023091414532517756,2022042902461467078,2024042417320875137,686,-679110214,1613,-836521977,23120008,23120008,8448,204,1,45063,51336,1,60,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13940,0,100.000,0.000
1,31,23040015,2024042417320883534,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532527067,2022042903140587300,2024042417320883534,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13941,41,0,0,0x91ee96ac,2023091414532527854,2022042902461477170,2024042417320885207,787,-679110130,1673,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13941,0,100.000,0.000
1,31,23040015,2024042417320893545,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532537119,2022042903140597312,2024042417320893545,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13942,42,0,0,0x6b04cabb,2023091414532527854,2022042902461477170,2024042417320895263,-9265,-679120142,1718,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13942,0,100.000,0.000
1,31,23040015,2024042417320903554,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532547086,2022042903140607318,2024042417320903554,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13943,43,0,0,0xa3436ed0,2023091414532548008,2022042902461497326,2024042417320905364,922,-679109992,1810,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13943,0,100.000,0.000
1,31,23040015,2024042417320913564,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532557096,2022042903140617330,2024042417320913564,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13944,44,0,0,0x4c11d143,2023091414532557808,2022042902461507127,2024042417320914439,712,-679110203,875,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13944,0,100.000,0.000
1,31,23040015,2024042417320923575,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532567122,2022042903140627336,2024042417320923575,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13945,45,0,0,0x663fbad8,2023091414532567858,2022042902461517176,2024042417320924521,736,-679110160,946,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13945,0,100.000,0.000
1,31,23040015,2024042417320933584,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532577124,2022042903140637349,2024042417320933584,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13946,46,0,0,0x7a21631,2023091414532578164,2022042902461527484,2024042417320934601,1040,-679109865,1017,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13946,0,100.000,0.000
1,31,23040015,2024042417320943595,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532587238,2022042903140647366,2024042417320943595,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13947,47,0,0,0x27524f6c,2023091414532588352,2022042902461537668,2024042417320945688,1114,-679109698,2093,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13947,0,100.000,0.000
1,31,23040015,2024042417320953626,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532597245,2022042903140657397,2024042417320953626,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13948,48,0,0,0xca3a8b77,2023091414532597855,2022042902461547173,2024042417320954760,610,-679110224,1134,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13948,0,100.000,0.000
1,31,23040015,2024042417320963655,1,1,9,101,1,1.5,0x1,0x1,132,2023091414532607186,2022042903140667421,2024042417320963655,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646590,35.646590,0.000000,13949,49,0,0,0xd39311e9,2023091414532607803,2022042902461557120,2024042417320964840,617,-679110301,1185,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,13949,0,100.000,0.000
