eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,usRssi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024042417355271269,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570933516,2022042903174994153,2024042417355271269,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646599,35.646599,0.000000,17,17,60,0,0xcc1156d2,2023091414570934602,2022042902495884384,2024042417355291019,1086,-679109769,19750,-836521977,23120008,23120008,8448,204,1,45063,51336,1,60,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,17,0,100.000,0.000
1,31,23040015,2024042417355281306,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570943339,2022042903175003929,2024042417355281306,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646599,35.646599,0.000000,18,18,0,0,0xf4021f4a,2023091414570943752,2022042902495893534,2024042417355300105,413,-679110395,18799,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,18,0,100.000,0.000
1,31,23040015,2024042417355291332,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570953133,2022042903175013754,2024042417355291332,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,19,19,0,0,0xc5636be8,2023091414570953602,2022042902495903383,2024042417355310189,469,-679110371,18857,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,19,0,100.000,0.000
1,31,23040015,2024042417355301349,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570962815,2022042903175023501,2024042417355301349,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,20,20,0,0,0xeb95547a,2023091414570963258,2022042902495913040,2024042417355320276,443,-679110461,18927,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,20,0,100.000,0.000
1,31,23040015,2024042417355311360,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570972716,2022042903175033288,2024042417355311360,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,21,21,0,0,0x6c82d7a7,2023091414570973753,2022042902495923535,2024042417355330359,1037,-679109753,18999,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,21,0,100.000,0.000
1,31,23040015,2024042417355321370,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570982409,2022042903175043080,2024042417355321370,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,22,22,0,0,0xa2d7a643,2023091414570983203,2022042902495932994,2024042417355340444,794,-679110086,19074,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,22,0,100.000,0.000
1,31,23040015,2024042417355331392,1,1,9,101,1,1.5,0x1,0x1,132,2023091414570992258,2022042903175052842,2024042417355331392,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,23,23,0,0,0xcf031cc9,2023091414570992857,2022042902495942651,2024042417355349519,599,-679110191,18127,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,23,0,100.000,0.000
1,31,23040015,2024042417355341408,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571001965,2022042903175062631,2024042417355341408,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,24,24,0,0,0xe23c3240,2023091414571002308,2022042902495952092,2024042417355358602,343,-679110539,17194,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,24,0,100.000,0.000
1,31,23040015,2024042417355351416,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571011757,2022042903175072415,2024042417355351416,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,25,25,0,0,0x5ee4a801,2023091414571012805,2022042902495962593,2024042417355369693,1048,-679109822,18277,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,25,0,100.000,0.000
1,31,23040015,2024042417355361446,1,1,9,101,1,1.5,0x1,0x1,132,2023091414571021547,2022042903175082221,2024042417355361446,-836521982,23120002,23120002,8448,204,0,1,40,0,0,180,20,2,100,35.646600,35.646600,0.000000,26,26,0,0,0xa76fa4c1,2023091414571022557,2022042902495972361,2024042417355379778,1010,-679109860,18332,-836521977,23120008,23120008,8448,204,1,45063,51336,1,0,1,0,0,4294.967295,35.646622,128.401450,0.000000,0,26,0,100.000,0.000
