eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024052115245554804,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245554609,2022042903001182346,2024052115245554804,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.345140,6307,7,60,0,0xd8e83e70,2024052115245555023,2022042902495688039,9223372036854775807,414,-505494307,7199319921609221003,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,1,0,0,0,13.937139,37.419888,127.124736,55.345140,0,6307,0,100.000,0.000
1,31,23040015,2024052115245564817,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245564562,2022042903001192334,2024052115245564817,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.352672,6308,8,0,0,0xe7631aec,2024052115245565215,2022042902495698236,9223372036854775807,653,-505494098,7199319921609210990,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.352672,0,6308,0,100.000,0.000
1,31,23040015,2024052115245574830,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245574579,2022042903001202350,2024052115245574830,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.356960,6309,9,0,0,0x57eb2796,2024052115245575257,2022042902495708276,9223372036854775807,678,-505494074,7199319921609200977,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.356960,0,6309,0,100.000,0.000
1,31,23040015,2024052115245584845,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245584623,2022042903001212380,2024052115245584845,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.363364,6310,10,0,0,0xdefe6590,2024052115245585015,2022042902495718036,9223372036854775807,392,-505494344,7199319921609190962,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.363364,0,6310,0,100.000,0.000
1,31,23040015,2024052115245594856,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245594600,2022042903001222392,2024052115245594856,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.374244,6311,11,0,0,0x3880ffba,2024052115245594957,2022042902495727979,9223372036854775807,357,-505494413,7199319921609180951,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.374244,0,6311,0,100.000,0.000
1,31,23040015,2024052115245604869,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245604634,2022042903001232404,2024052115245604869,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.377640,6312,12,0,0,0xa9e660ea,2024052115245605162,2022042902495738189,9223372036854775807,528,-505494215,7199319921609170938,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.377640,0,6312,0,100.000,0.000
1,31,23040015,2024052115245614883,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245614665,2022042903001242417,2024052115245614883,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.373936,6313,13,0,0,0x547b91df,2024052115245614907,2022042902495747930,9223372036854775807,242,-505494487,7199319921609160924,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.373936,0,6313,0,100.000,0.000
1,31,23040015,2024052115245624897,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245624619,2022042903001252420,2024052115245624897,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.370968,6314,14,0,0,0xb22deda7,2024052115245625719,2022042902495758747,9223372036854775807,1100,-505493673,7199319921609150910,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.370968,0,6314,0,100.000,0.000
1,31,23040015,2024052115245634931,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245634657,2022042903001262453,2024052115245634931,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.373460,6315,15,0,0,0x37afe986,2024052115245635367,2022042902495768385,9223372036854775807,710,-505494068,7199319921609140876,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.373460,0,6315,0,100.000,0.000
1,31,23040015,2024052115245644963,1,1,9,101,1,1.5,0x1,0x1,128,2024052115245644707,2022042903001272481,2024052115245644963,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.419888,127.124736,55.376604,6316,16,0,0,0x2a246e0,2024052115245645802,2022042902495778820,9223372036854775807,1095,-505493661,7199319921609130844,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,13.937139,37.419888,127.124736,55.376604,0,6316,0,100.000,0.000
