eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23120002,2024052414294242711,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294242711,0,5915,20,20,0,0,100,37.403472,127.160112,129.444960,1,1,60,0,0x9aa69bea
1,31,23120002,2024052414294252741,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294252741,0,5915,20,20,0,0,100,37.403472,127.160112,129.452528,2,2,60,0,0xb1aaaa61
1,31,23120002,2024052414294262760,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294262760,0,5915,20,20,0,0,100,37.403472,127.160112,129.544328,3,3,60,0,0x7c4a9b98
1,31,23120002,2024052414294272800,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294272800,0,5915,20,20,0,0,100,37.403472,127.160112,129.556992,4,4,60,359,0x882af436
1,31,23120002,2024052414294282834,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294282834,0,5915,20,20,0,0,100,37.403472,127.160112,129.609816,5,5,60,359,0x605c423e
1,31,23120002,2024052414294292851,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294292851,0,5915,20,20,0,0,100,37.403472,127.160112,129.622272,6,6,60,359,0xbbf0d1d7
1,31,23120002,2024052414294302867,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294302867,0,5915,20,20,0,0,100,37.403472,127.160112,129.634688,7,7,60,359,0x3dfe2f2d
1,31,23120002,2024052414294312883,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294312883,0,5915,20,20,0,0,100,37.403472,127.160112,129.666944,8,8,60,359,0xab7af306
1,31,23120002,2024052414294322917,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294322917,0,5915,20,20,0,0,100,37.403472,127.160112,129.680008,9,9,60,359,0xc9f40615
1,31,23120002,2024052414294332950,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294332950,0,5915,20,20,0,0,100,37.403472,127.160112,129.682880,10,10,60,359,0xf9c6a8ee
1,31,23120002,2024052414294342966,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294342966,0,5915,20,20,0,0,100,37.403472,127.160112,129.722488,11,11,60,359,0xd224bee
1,31,23120002,2024052414294352983,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052414294352983,0,5915,20,20,0,0,100,37.403472,127.160112,129.734008,12,12,0,359,0xadbf2fc4
