eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024042417355288332,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355288332,0,180,20,2,100,0.000000,0.000000,0.000000,1,1,60,0,0xb57cc4b7
1,31,23040015,2024042417355298370,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355298370,0,180,20,2,100,0.000000,0.000000,0.000000,2,2,60,0,0xd191dce5
1,31,23040015,2024042417355308401,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355308401,0,180,20,2,100,0.000000,0.000000,0.000000,3,3,60,0,0x5e59d736
1,31,23040015,2024042417355318432,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355318432,0,180,20,2,100,0.000000,0.000000,0.000000,4,4,60,0,0x1c95e8a4
1,31,23040015,2024042417355328463,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355328463,0,180,20,2,100,0.000000,0.000000,0.000000,5,5,60,0,0x2dcbac1e
1,31,23040015,2024042417355338496,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355338496,0,180,20,2,100,0.000000,0.000000,0.000000,6,6,60,0,0xf91ac4d8
1,31,23040015,2024042417355348529,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355348529,0,180,20,2,100,0.000000,0.000000,0.000000,7,7,60,0,0xca1e060c
1,31,23040015,2024042417355358562,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355358562,0,180,20,2,100,0.000000,0.000000,0.000000,8,8,60,0,0xe270dab6
1,31,23040015,2024042417355368595,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355368595,0,180,20,2,100,0.000000,0.000000,0.000000,9,9,60,0,0x73258411
1,31,23040015,2024042417355378627,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355378627,0,180,20,2,100,0.000000,0.000000,0.000000,10,10,60,0,0x7d218e54
1,31,23040015,2024042417355388659,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355388659,0,180,20,2,100,0.000000,0.000000,0.000000,11,11,60,0,0x229b6cf9
1,31,23040015,2024042417355398692,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355398692,0,180,20,2,100,0.000000,0.000000,0.000000,12,12,0,0,0x56f955bd
1,31,23040015,2024042417355408723,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355408723,0,180,20,2,100,0.000000,0.000000,0.000000,13,13,0,0,0x78804d77
1,31,23040015,2024042417355418755,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355418755,0,180,20,2,100,0.000000,0.000000,0.000000,14,14,0,0,0x241fbc3a
1,31,23040015,2024042417355428787,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355428787,0,180,20,2,100,0.000000,0.000000,0.000000,15,15,0,0,0xdb0cba7c
1,31,23040015,2024042417355438818,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355438818,0,180,20,2,100,0.000000,0.000000,0.000000,16,16,0,0,0x420a6ec5
1,31,23040015,2024042417355448850,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355448850,0,180,20,2,100,0.000000,0.000000,0.000000,17,17,0,0,0xa2a8af93
1,31,23040015,2024042417355458881,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355458881,0,180,20,2,100,0.000000,0.000000,0.000000,18,18,0,0,0x358c90bd
1,31,23040015,2024042417355468894,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355468894,0,180,20,2,100,0.000000,0.000000,0.000000,19,19,0,0,0xe91b68e1
1,31,23040015,2024042417355478929,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355478929,0,180,20,2,100,0.000000,0.000000,0.000000,20,20,0,0,0x7101d65a
1,31,23040015,2024042417355488961,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355488961,0,180,20,2,100,0.000000,0.000000,0.000000,21,21,0,0,0x651cac1f
1,31,23040015,2024042417355498993,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355498993,0,180,20,2,100,0.000000,0.000000,0.000000,22,22,0,0,0xd44b4f79
1,31,23040015,2024042417355509025,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355509025,0,180,20,2,100,0.000000,0.000000,0.000000,23,23,0,0,0xcb1817e3
1,31,23040015,2024042417355519057,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355519057,0,180,20,2,100,0.000000,0.000000,0.000000,24,24,0,0,0x4c9d4881
1,31,23040015,2024042417355529088,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355529088,0,180,20,2,100,0.000000,0.000000,0.000000,25,25,0,0,0x9abbdb2b
1,31,23040015,2024042417355539120,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355539120,0,180,20,2,100,0.000000,0.000000,0.000000,26,26,0,0,0x9b842fd9
1,31,23040015,2024042417355549151,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355549151,0,180,20,2,100,0.000000,0.000000,0.000000,27,27,0,0,0x4f38a1be
1,31,23040015,2024042417355559163,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355559163,0,180,20,2,100,0.000000,0.000000,0.000000,28,28,0,0,0x171a7edb
1,31,23040015,2024042417355569194,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355569194,0,180,20,2,100,0.000000,0.000000,0.000000,29,29,0,0,0x361a4a97
1,31,23040015,2024042417355579225,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355579225,0,180,20,2,100,0.000000,0.000000,0.000000,30,30,0,0,0x1810e2d3
1,31,23040015,2024042417355589257,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355589257,0,180,20,2,100,0.000000,0.000000,0.000000,31,31,0,0,0xb21e26d5
1,31,23040015,2024042417355599288,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355599288,0,180,20,2,100,0.000000,0.000000,0.000000,32,32,0,0,0x970bcd43
1,31,23040015,2024042417355609320,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355609320,0,180,20,2,100,0.000000,0.000000,0.000000,33,33,0,0,0x413fcf54
1,31,23040015,2024042417355619351,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355619351,0,180,20,2,100,0.000000,0.000000,0.000000,34,34,0,0,0x261e023e
1,31,23040015,2024042417355629382,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355629382,0,180,20,2,100,0.000000,0.000000,0.000000,35,35,0,0,0xce43dcbd
1,31,23040015,2024042417355639414,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355639414,0,180,20,2,100,0.000000,0.000000,0.000000,36,36,0,0,0xef7c8a46
1,31,23040015,2024042417355649445,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355649445,0,180,20,2,100,0.000000,0.000000,0.000000,37,37,0,0,0x80a2989
1,31,23040015,2024042417355659477,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355659477,0,180,20,2,100,0.000000,0.000000,0.000000,38,38,0,0,0x1577ff4b
1,31,23040015,2024042417355669511,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355669511,0,180,20,2,100,0.000000,0.000000,0.000000,39,39,0,0,0x7b4cc437
1,31,23040015,2024042417355679542,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355679542,0,180,20,2,100,0.000000,0.000000,0.000000,40,40,0,0,0xf079e8aa
1,31,23040015,2024042417355689574,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355689574,0,180,20,2,100,0.000000,0.000000,0.000000,41,41,0,0,0x6145ac72
1,31,23040015,2024042417355699614,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355699614,0,180,20,2,100,0.000000,0.000000,0.000000,42,42,0,0,0xb94bc4df
1,31,23040015,2024042417355709646,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355709646,0,180,20,2,100,0.000000,0.000000,0.000000,43,43,0,0,0x3d928a67
1,31,23040015,2024042417355719678,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355719678,0,180,20,2,100,0.000000,0.000000,0.000000,44,44,0,0,0x34ebbca0
1,31,23040015,2024042417355729710,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355729710,0,180,20,2,100,0.000000,0.000000,0.000000,45,45,0,0,0xbb7cd0c7
1,31,23040015,2024042417355739722,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355739722,0,180,20,2,100,0.000000,0.000000,0.000000,46,46,0,0,0x3000ea40
1,31,23040015,2024042417355749735,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355749735,0,180,20,2,100,0.000000,0.000000,0.000000,47,47,0,0,0x736f4a4a
1,31,23040015,2024042417355759749,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355759749,0,180,20,2,100,0.000000,0.000000,0.000000,48,48,0,0,0x42004c29
1,31,23040015,2024042417355769780,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355769780,0,180,20,2,100,0.000000,0.000000,0.000000,49,49,0,0,0x904271fc
1,31,23040015,2024042417355779818,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355779818,0,180,20,2,100,0.000000,0.000000,0.000000,50,50,0,0,0xcab8bea2
1,31,23040015,2024042417355789852,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355789852,0,180,20,2,100,0.000000,0.000000,0.000000,51,51,0,0,0x24a85569
1,31,23040015,2024042417355799886,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355799886,0,180,20,2,100,0.000000,0.000000,0.000000,52,52,0,0,0xa0111ed2
1,31,23040015,2024042417355809917,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355809917,0,180,20,2,100,0.000000,0.000000,0.000000,53,53,0,0,0xe27dbfe0
1,31,23040015,2024042417355819929,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355819929,0,180,20,2,100,0.000000,0.000000,0.000000,54,54,0,0,0x2898292a
1,31,23040015,2024042417355829942,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355829942,0,180,20,2,100,0.000000,0.000000,0.000000,55,55,0,0,0x15123875
1,31,23040015,2024042417355839955,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355839955,0,180,20,2,100,0.000000,0.000000,0.000000,56,56,0,0,0x6a6bc3d2
1,31,23040015,2024042417355849968,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355849968,0,180,20,2,100,0.000000,0.000000,0.000000,57,57,0,0,0x3b25a865
1,31,23040015,2024042417355859981,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355859981,0,180,20,2,100,0.000000,0.000000,0.000000,58,58,0,0,0xda5bd318
1,31,23040015,2024042417355869995,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355869995,0,180,20,2,100,0.000000,0.000000,0.000000,59,59,0,0,0x1ec4cfa0
1,31,23040015,2024042417355880027,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355880027,0,180,20,2,100,0.000000,0.000000,0.000000,60,60,0,0,0xec5e7973
1,31,23040015,2024042417355890059,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355890059,0,180,20,2,100,0.000000,0.000000,0.000000,61,61,0,0,0xf1658b45
1,31,23040015,2024042417355900092,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355900092,0,180,20,2,100,0.000000,0.000000,0.000000,62,62,0,0,0xf5cfbe4
1,31,23040015,2024042417355910124,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355910124,0,180,20,2,100,0.000000,0.000000,0.000000,63,63,0,0,0x3ec95bd7
1,31,23040015,2024042417355920156,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355920156,0,180,20,2,100,0.000000,0.000000,0.000000,64,64,0,0,0xb3d77b3c
1,31,23040015,2024042417355930188,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355930188,0,180,20,2,100,0.000000,0.000000,0.000000,65,65,0,0,0xa7ca0179
1,31,23040015,2024042417355940200,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355940200,0,180,20,2,100,0.000000,0.000000,0.000000,66,66,0,0,0x32b77137
1,31,23040015,2024042417355950213,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355950213,0,180,20,2,100,0.000000,0.000000,0.000000,67,67,0,0,0x6c3b0cc3
1,31,23040015,2024042417355960225,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355960225,0,180,20,2,100,0.000000,0.000000,0.000000,68,68,0,0,0x2935e95
1,31,23040015,2024042417355970237,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355970237,0,180,20,2,100,0.000000,0.000000,0.000000,69,69,0,0,0x66087c08
1,31,23040015,2024042417355980250,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355980250,0,180,20,2,100,0.000000,0.000000,0.000000,70,70,0,0,0xadc29b0c
1,31,23040015,2024042417355990262,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417355990262,0,180,20,2,100,0.000000,0.000000,0.000000,71,71,0,0,0x7767a677
1,31,23040015,2024042417360000276,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360000276,0,180,20,2,100,0.000000,0.000000,0.000000,72,72,0,0,0x421366a3
1,31,23040015,2024042417360010289,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360010289,0,180,20,2,100,0.000000,0.000000,0.000000,73,73,0,0,0xdfc65fdb
1,31,23040015,2024042417360020318,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360020318,0,180,20,2,100,0.000000,0.000000,0.000000,74,74,0,0,0x9d2810b7
1,31,23040015,2024042417360030349,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360030349,0,180,20,2,100,0.000000,0.000000,0.000000,75,75,0,0,0x122080c7
1,31,23040015,2024042417360040378,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360040378,0,180,20,2,100,0.000000,0.000000,0.000000,76,76,0,0,0xa46761d0
1,31,23040015,2024042417360050411,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360050411,0,180,20,2,100,0.000000,0.000000,0.000000,77,77,0,0,0x74d018f8
1,31,23040015,2024042417360060443,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360060443,0,180,20,2,100,0.000000,0.000000,0.000000,78,78,0,0,0xffe96252
1,31,23040015,2024042417360070475,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417360070475,0,180,20,2,100,0.000000,0.000000,0.000000,79,79,0,0,0xab2e716
