eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024052115533119325,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533119325,0,5915,20,20,0,0,100,37.405624,127.155288,99.315336,1,1,60,0,0xa1fe752
1,31,23040015,2024052115533129368,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533129368,0,5915,20,20,0,0,100,37.405624,127.155288,99.314208,2,2,60,0,0xc8dc162d
1,31,23040015,2024052115533139401,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533139401,0,5915,20,20,0,0,100,37.405624,127.155288,99.320896,3,3,60,0,0xf142183c
1,31,23040015,2024052115533149435,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533149435,0,5915,20,20,0,0,100,37.405624,127.155288,99.320448,4,4,60,0,0xe66561c1
1,31,23040015,2024052115533159468,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533159468,0,5915,20,20,0,0,100,37.405624,127.155288,99.318584,5,5,60,0,0xd44d3878
1,31,23040015,2024052115533169502,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533169502,0,5915,20,20,0,0,100,37.405624,127.155288,99.320976,6,6,60,0,0x6d6eaf4c
1,31,23040015,2024052115533179535,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533179535,0,5915,20,20,0,0,100,37.405624,127.155288,99.320264,7,7,60,0,0x2b15a183
1,31,23040015,2024052115533189569,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533189569,0,5915,20,20,0,0,100,37.405624,127.155288,99.322544,8,8,60,0,0x5caef5e
1,31,23040015,2024052115533199584,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533199584,0,5915,20,20,0,0,100,37.405624,127.155288,99.326816,9,9,60,0,0x79f21a6b
1,31,23040015,2024052115533209617,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533209617,0,5915,20,20,0,0,100,37.405624,127.155288,99.329880,10,10,60,0,0x7ef48184
1,31,23040015,2024052115533219650,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533219650,0,5915,20,20,0,0,100,37.405624,127.155288,99.327728,11,11,60,0,0x9d7328c8
1,31,23040015,2024052115533229684,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533229684,0,5915,20,20,0,0,100,37.405624,127.155288,99.328864,12,12,0,0,0x385a13b2
1,31,23040015,2024052115533239718,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533239718,0,5915,20,20,0,0,100,37.405624,127.155288,99.325872,13,13,0,0,0xa6fd5ddb
1,31,23040015,2024052115533249752,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533249752,0,5915,20,20,0,0,100,37.405624,127.155288,99.324448,14,14,0,0,0x4262465f
1,31,23040015,2024052115533259791,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533259791,0,5915,20,20,0,0,100,37.405624,127.155288,99.323896,15,15,0,0,0x572af023
1,31,23040015,2024052115533269825,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533269825,0,5915,20,20,0,0,100,37.405624,127.155288,99.319008,16,16,0,0,0xdaa03066
1,31,23040015,2024052115533279860,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533279860,0,5915,20,20,0,0,100,37.405624,127.155288,99.317632,17,17,0,0,0xe4d42183
1,31,23040015,2024052115533289876,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533289876,0,5915,20,20,0,0,100,37.405624,127.155288,99.318104,18,18,0,0,0xc6457dc6
1,31,23040015,2024052115533299893,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533299893,0,5915,20,20,0,0,100,37.405624,127.155288,99.320120,19,19,0,0,0x56bcfd4e
1,31,23040015,2024052115533309926,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533309926,0,5915,20,20,0,0,100,37.405624,127.155288,99.323776,20,20,0,0,0xa89535be
1,31,23040015,2024052115533319942,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533319942,0,5915,20,20,0,0,100,37.405624,127.155288,99.327424,21,21,0,0,0x4843b08c
1,31,23040015,2024052115533329976,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533329976,0,5915,20,20,0,0,100,37.405624,127.155288,99.329848,22,22,0,0,0x5488f4e6
1,31,23040015,2024052115533340012,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533340012,0,5915,20,20,0,0,100,37.405624,127.155288,99.329712,23,23,0,0,0xe66f7705
1,31,23040015,2024052115533350047,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533350047,0,5915,20,20,0,0,100,37.405624,127.155288,99.332192,24,24,0,0,0xe7d4d96e
1,31,23040015,2024052115533360081,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533360081,0,5915,20,20,0,0,100,37.405624,127.155288,99.330312,25,25,0,0,0x58609b0e
1,31,23040015,2024052115533370115,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533370115,0,5915,20,20,0,0,100,37.405624,127.155288,99.325232,26,26,0,0,0x316861c0
1,31,23040015,2024052115533380149,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533380149,0,5915,20,20,0,0,100,37.405624,127.155288,99.325736,27,27,0,0,0x7afc9dc2
1,31,23040015,2024052115533390166,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533390166,0,5915,20,20,0,0,100,37.405624,127.155288,99.320912,28,28,0,0,0x5a21b5ff
1,31,23040015,2024052115533400183,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533400183,0,5915,20,20,0,0,100,37.405624,127.155288,99.315224,29,29,0,0,0x2a25e9e9
1,31,23040015,2024052115533410217,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533410217,0,5915,20,20,0,0,100,37.405624,127.155288,99.315032,30,30,0,0,0xe1b5adf5
1,31,23040015,2024052115533420251,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533420251,0,5915,20,20,0,0,100,37.405624,127.155288,99.313760,31,31,0,0,0xdde10168
1,31,23040015,2024052115533430285,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533430285,0,5915,20,20,0,0,100,37.405624,127.155288,99.313712,32,32,0,0,0xfc06f532
1,31,23040015,2024052115533440319,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533440319,0,5915,20,20,0,0,100,37.405624,127.155288,99.318032,33,33,0,0,0x6072c611
1,31,23040015,2024052115533450353,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533450353,0,5915,20,20,0,0,100,37.405624,127.155288,99.321968,34,34,0,0,0x76f09ea4
1,31,23040015,2024052115533460387,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533460387,0,5915,20,20,0,0,100,37.405624,127.155288,99.323352,35,35,0,0,0xf4749e75
1,31,23040015,2024052115533470421,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533470421,0,5915,20,20,0,0,100,37.405624,127.155288,99.328352,36,36,0,0,0x198645af
1,31,23040015,2024052115533480455,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533480455,0,5915,20,20,0,0,100,37.405624,127.155288,99.331640,37,37,0,0,0xc1e6dec3
1,31,23040015,2024052115533490471,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533490471,0,5915,20,20,0,0,100,37.405624,127.155288,99.336488,38,38,0,0,0xf711d947
1,31,23040015,2024052115533500488,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533500488,0,5915,20,20,0,0,100,37.405624,127.155288,99.339656,39,39,0,0,0x62d671ff
1,31,23040015,2024052115533510521,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533510521,0,5915,20,20,0,0,100,37.405624,127.155288,99.342520,40,40,0,0,0x73c2ca17
1,31,23040015,2024052115533520555,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052115533520555,0,5915,20,20,0,0,100,37.405624,127.155288,99.344368,41,41,0,0,0x69c26446
