eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024052316485309002,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485309002,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,1,1,60,0,0x1b1e081e
1,31,23040015,2024052316485319018,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485319018,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,2,2,60,0,0xe53ca84d
1,31,23040015,2024052316485329031,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485329031,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,3,3,60,0,0xbbab69ca
1,31,23040015,2024052316485339061,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485339061,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,4,4,60,0,0xc05b7b47
1,31,23040015,2024052316485349091,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485349091,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,5,5,60,0,0x452d24f1
1,31,23040015,2024052316485359121,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485359121,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,6,6,60,0,0x6adde4ab
1,31,23040015,2024052316485369150,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485369150,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,7,7,60,0,0x6764080c
1,31,23040015,2024052316485379162,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485379162,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,8,8,60,0,0x745f7a3b
1,31,23040015,2024052316485389191,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485389191,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,9,9,60,0,0xe1f0802d
1,31,23040015,2024052316485399220,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485399220,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,10,10,60,0,0x6f6dc40
1,31,23040015,2024052316485409249,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485409249,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,11,11,60,0,0x3ca4292a
1,31,23040015,2024052316485419281,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485419281,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,12,12,0,0,0x1be9cc1d
1,31,23040015,2024052316485429293,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485429293,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,13,13,0,0,0xfbecb6
1,31,23040015,2024052316485439322,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485439322,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,14,14,0,0,0x5e4e4ba7
1,31,23040015,2024052316485449351,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052316485449351,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,15,15,0,0,0xfe01feb
